x,y,z
3083873.585,1416178.44,826
3083633.17,1416190.05,832
3083980.14,1416241.9,832
3083873.475,1416185.0,824
3082473.405,1416191.115,838
3083979.635,1416239.8599999999,830
3083979.505,1416237.825,828
3083073.9,1416210.665,836
3082619.38,1416194.24,834
3083076.31,1416211.4,834
3082867.33,1416258.1,826
3083977.085,1416236.3250000002,826
3081436.7199999997,1416237.575,848
3083076.7750000004,1416212.135,832
3082624.995,1416201.9849999999,832
3083076.91,1416212.23,830
3084144.975,1416240.7149999999,836
3083076.7800000003,1416211.83,828
3083076.6550000003,1416211.47,826
3084171.735,1416241.275,830
3084095.68,1416222.005,834
3084172.79,1416242.1949999998,832
3084171.745,1416242.41,834
3083545.38,1416261.58,822
3082873.73,1416218.295,824
3083072.12,1416216.385,824
3084170.94,1416242.3,828
3078605.075,1416235.895,828
3078604.06,1416238.44,830
3083542.76,1416268.67,820
3080183.0300000003,1416259.525,930
3082751.105,1416292.6400000001,826
3084330.6552,1416306.4182000002,850
3083345.175,1416244.415,846
3078962.8203,1416389.46605,834
3082808.735,1416269.58,832
3079169.8983,1416781.66325,830
3083854.075,1416317.08,830
3083855.35,1416319.15,832
3082769.995,1416301.275,824
3078782.0703499997,1416282.5082999999,834
3078752.6845000004,1416298.08025,834
3083853.875,1416314.08,828
3082868.115,1416310.42,824
3082866.79,1416312.9500000002,820
3082867.485,1416311.685,822
3080922.96445,1416465.57685,930
3084315.15,1416303.25,852
3078780.0191,1416313.98635,832
3078950.475,1416403.74975,832
3080912.66225,1416475.2053,932
3078753.28565,1416315.6189000001,834
3083895.24,1416497.53,830
3078617.895,1416825.6349999998,824
3083752.92,1416376.9,826
3078896.01,1416371.685,828
3083926.505,1416367.27,836
3083839.2199999997,1416497.49,828
3078627.885,1416820.6600000001,822
3078626.23,1416813.54,820
3078907.95,1416379.0350000001,826
3082708.935,1416352.49,826
3083766.45,1416380.435,824
3078623.185,1416804.685,818
3078907.9450000003,1416382.9100000001,824
3086827.855,1416485.255,838
3078596.21,1416799.6,816
3078905.015,1416376.97,818
3078905.7,1416381.78,820
3078906.83,1416381.3599999999,822
3081500.385,1416467.105,852
3078708.045,1416463.855,814
3081495.7199999997,1416467.6099999999,850
3084030.165,1416466.51,828
3078010.455,1416411.89275,828
3078033.4699999997,1416430.34785,826
3080971.425,1417195.3889000001,888
3081497.255,1416463.675,848
3079050.125,1417154.2349999999,826
3084027.73,1416454.7650000001,826
3084027.915,1416453.3900000001,824
3083118.5300000003,1416469.29,840
3078733.065,1416437.6749999998,812
3080534.7247,1416583.7709,930
3080465.2236,1416429.20725,930
3086936.365,1416498.245,838
3083118.435,1416469.9500000002,834
3083119.8200000003,1416469.665,836
3083119.355,1416469.45,838
3078735.2249999996,1416439.875,810
3083625.3899999997,1416431.28,834
3083118.0700000003,1416469.48,828
3083118.43,1416469.4300000002,832
3081746.895,1416515.175,840
3080867.14855,1417060.26465,914
3080853.46175,1417078.4953,912
3086018.1950000003,1416543.6949999998,822
3084028.55,1416457.2850000001,822
3083116.665,1416469.46,824
3083117.8899999997,1416469.385,826
3078001.95505,1416452.108,828
3079372.2981000002,1418515.585,848
3082565.91,1416570.57,832
3078168.3449999997,1416514.655,828
3086132.16,1416509.1800000002,818
3081734.23,1416501.5,838
3078605.18,1416558.95,814
3078604.76,1416557.0750000002,812
3078581.265,1416555.065,810
3078052.855,1416554.995,824
3080497.3528500004,1416605.1967500001,926
3079869.85385,1416491.77205,892
3083827.8200000003,1416545.27,826
3078736.6950000003,1416503.935,810
3078738.365,1416502.685,812
3078046.685,1416558.995,822
3080448.11175,1416620.0482,924
3079622.4554500002,1416529.3018,868
3079864.91335,1416501.39735,890
3080988.64,1417241.31195,890
3079354.2641,1418517.045,846
3083813.2,1416518.06,824
3083811.6799999997,1416512.58,822
3078877.695,1416530.99,818
3078735.3200000003,1416504.0150000001,804
3078735.77,1416504.08,806
3078735.715,1416504.245,808
3078041.855,1416561.245,820
3086971.88,1416555.895,838
3080433.1,1416620.66945,922
3079194.045,1418511.915,844
3082996.215,1416497.68,842
3082982.96,1416573.855,838
3082982.37,1416571.31,836
3082981.71,1416568.76,834
3082980.81,1416566.005,832
3082844.9299999997,1416533.865,832
3082845.18,1416533.5950000002,834
3082845.42,1416533.25,836
3078024.94,1416558.33,818
3081504.69,1416511.405,846
3082840.68,1416534.895,824
3083431.465,1416550.35,830
3082978.385,1416559.38,828
3082976.98,1416556.2,826
3082979.705,1416562.35,830
3082844.67,1416534.125,830
3082844.08,1416534.65,826
3082844.395,1416534.395,828
3080979.2643,1417216.78,896
3081540.56,1416513.495,854
3079277.0,1418330.3923,836
3086046.6799999997,1416584.94,820
3083430.63,1416550.29,824
3083430.91,1416550.31,826
3083431.185,1416550.33,828
3082975.63,1416553.0150000001,824
3082977.43,1416550.48,822
3079277.545,1418606.66865,858
3079367.4242000002,1416892.00275,832
